"ime", "drzava", "st_smeri", "razpon_ocen", "najlazja", "najtezja"
Grotta dell` Arenauta,Italija,46,5c do 9a,5c,9a
Grotti,Italija,30,5b do 7c,5b,7c
Guggenheim,Italija,1,7b,7b,7b
Hexenstein Sass di Stria,Italija,1,4c (IV+),4c,4c
La Grola,Italija,7,5a do 6a+,5a,6a+
Lis Feminis,Italija,54,3 do 6b+,3,6b+
Lumignano,Italija,639,3 do 8b+/c,3,8b+/c
Marciaga,Italija,9,4b do 6c+,4b,6c+
Monsumano,Italija,6,5a do 7a,5a,7a
Monte Bonacoe,Italija,,,,
Monte Strabut,Italija,3,6b do 7a+,6b,7a+
Muzzerone (Liguria),Italija,452,4a do 8b,4a,8b
Nago Torbole - Belvedere,Italija,58,3 do 7b+/c,3,7b+/c
Nago Torbole - Corno di Bo',Italija,4,4b do 5a,4b,5a
Nago Torbole - Massi delle Traole,Italija,18,4b do 6c,4b,6c
Nago Torbole - Nago,Italija,131,4b do 8c,4b,8c
Nago Torbole - Passo San Giovanni,Italija,19,4c do 7b+,4c,7b+
Nago Torbole - Ronzo chienis,Italija,11,6a do 6c,6a,6c
Napoleonica (Napoleonska cesta),Italija,281,3 do 8b+,3,8b+
Naturns - Wallburg,Italija,15,4a do 7a+,4a,7a+
Oltrefinale,Italija,565,4a do 8c,4a,8c
Oltrefinale - Bausu Centrale,Italija,5,6b do 7a,6b,7a
Oltrefinale - Caprette,Italija,6,6a do 7a,6a,7a
Oltrefinale - Cineplex,Italija,13,5b do 7c+/8a,5b,7c+/8a
Oltrefinale - Colosseo,Italija,9,6a do 7a,6a,7a
Oltrefinale - Emisfero,Italija,3,6a+ do 6c+,6a+,6c+
Oltrefinale - Erboristeria Alta,Italija,14,6a do 8a,6a,8a
Oltrefinale - Erboristeria Bassa,Italija,5,7a do 8a,7a,8a
Oltrefinale - Erli Cerisola,Italija,58,1 do 8a+,1,8a+
Oltrefinale - Euskal,Italija,2,6c+ do 7a+,6c+,7a+
Oltrefinale - Guggenheim Grotta,Italija,9,6a do 6c+,6a,6c+
Oltrefinale - La Famiglia,Italija,13,6a do 7c,6a,7c
Oltrefinale - Marvel,Italija,40,1 do 8a,1,8a
Oltrefinale - Reunion,Italija,9,6a do 7a,6a,7a
Oltrefinale - Terminal,Italija,16,5a do 7b,5a,7b
Pal piccolo,Italija,2,6c do 7c,6c,7c
Palestra L. Caramel,Italija,11,4c do 7b/b+,4c,7b/b+
Pezzent Area,Italija,26,1 do 8b,1,8b
Pietramurata (Valle dei laghi) - Athos,Italija,13,6a+ do 7c+,6a+,7c+
Pietramurata (Valle dei laghi) - Camerette,Italija,13,5c do 7a+,5c,7a+
Pietramurata (Valle dei laghi) - Cavedine,Italija,24,6a+ do 7c,6a+,7c
Pietramurata (Valle dei laghi) - Giardino delle Occasioni Perdute,Italija,17,6a do 7b,6a,7b
Pietramurata (Valle dei laghi) - Giardino di nato,Italija,8,5c do 7a,5c,7a
Pietramurata (Valle dei laghi) - La gola,Italija,25,5c do 7c,5c,7c
Pietramurata (Valle dei laghi) - La Panoramica,Italija,19,6a+ do 7b+,6a+,7b+
Pietramurata (Valle dei laghi) - Limaro (Piccolo Dain),Italija,2,5b do 5b,5b,5b
Pietramurata (Valle dei laghi) - Margone,Italija,4,6c do 6c+,6c,6c+
Pietramurata (Valle dei laghi) - Placche Zebrate,Italija,13,4a do 6c,4a,6c
Pietramurata (Valle dei laghi) - San Siro,Italija,21,5a do 7c,5a,7c
Pietramurata (Valle dei laghi) - Sarche,Italija,21,5c do 7b+,5c,7b+
Pietramurata (Valle dei laghi) - Sisyphos,Italija,17,5c do 7b,5c,7b
Placche del gardino,Italija,2,5c do 5c,5c,5c
Placche Val di Collina,Italija,18,5b do 7a,5b,7a
Ponte san quirino,Italija,80,4b do 8a,4b,8a
Pragser Wildsee,Italija,14,3 do 7b+,3,7b+
Pungitopo,Italija,21,4c do 7a,4c,7a
Ranzo - Il Bersaglio,Italija,43,5b do 7a+,5b,7a+
Regina del Lago,Italija,27,5a do 6b+,5a,6b+
Rio degli Uccelli,Italija,14,4c do 6c+/7a,4c,6c+/7a
Rovereto - Pian del Levro,Italija,8,5c do 6c,5c,6c
Rovereto - Serrada,Italija,11,5b do 7a,5b,7a
San Leonardo,Italija,,,,
Santa Croce (Križ),Italija,25,3 do 6a+/b,3,6a+/b
Sardegna - Arcadio,Italija,6,6a+ do 6c+,6a+,6c+
Sardegna - Biddiscottai,Italija,22,5b do 7a+,5b,7a+
Sardegna - Buchi Arta,Italija,15,5c do 7a,5c,7a
Sardegna - Budinetto,Italija,13,3 do 6a,3,6a
Sardegna - Cala Fuili,Italija,32,4a do 7a+,4a,7a+
Sardegna - Cala Gonone,Italija,16,5b do 7b,5b,7b
Sardegna - Cala Luna,Italija,9,5c do 7a+,5c,7a+
Sardegna - Cala Spinosa,Italija,9,4c do 7a,4c,7a
Sardegna - Canyon di San Nicolo,Italija,4,5b do 6b+,5b,6b+
Sardegna - Cassarotto,Italija,11,5b do 6c+,5b,6c+
Sardegna - Castello dell'iride,Italija,8,5c do 6c,5c,6c
Sardegna - Codula fuili,Italija,5,6c do 7a+,6c,7a+
Sardegna - Creuza de Ma,Italija,7,5b do 6c+,5b,6c+
Sardegna - Creuza de Ma',Italija,,,,
Sardegna - Dimensione Verticale,Italija,22,4c do 6c+,4c,6c+
Sardegna - Domusnovas,Italija,448,4b do 9a+/b,4b,9a+/b
Sardegna - Dorgali,Italija,6,6b do 7b+,6b,7b+
Sardegna - Fuili,Italija,25,4a do 6a+/b,4a,6a+/b
Sardegna - Isili (classic area),Italija,210,4c do 8c,4c,8c
Sardegna - Jerzu,Italija,46,6a do 7c+,6a,7c+
Sardegna - La Muraglia,Italija,19,5a do 6b,5a,6b
Sardegna - La poltrona,Italija,23,5a do 6c,5a,6c
Sardegna - Margheddie,Italija,8,4c do 6b+,4c,6b+
Sardegna - Millennium,Italija,5,7a do 7b+,7a,7b+
Sardegna - Monte Arci,Italija,5,6a+ do 6b+,6a+,6b+
Sardegna - Monte Bonacoe,Italija,6,5a do 6a+,5a,6a+
Sardegna - Monte Scoine,Italija,2,5a do 5a,5a,5a
Sardegna - Porto Santa Maria,Italija,4,5a do 6a,5a,6a
Sardegna - Quirra,Italija,52,5a do 8c,5a,8c
Sardegna - Roccadoria Monteleone,Italija,21,5c+ do 8a/a+,5c+,8a/a+
Sardegna - S'atta ruia,Italija,17,5c do 7a+,5c,7a+
Sardegna - Siniscola,Italija,8,5c do 7a+,5c,7a+
Sardegna - Ulassai Canyon,Italija,89,4b do 8b/b+,4b,8b/b+
Sardegna - Villaggio Gallico,Italija,4,5b do 6a+,5b,6a+
Sasso di Calleda,Italija,1,6a,6a,6a
Schnals - Marchegghof,Italija,21,4a do 7b+,4a,7b+
Sella Nevea - Nut,Italija,66,5a do 8b+,5a,8b+
Sicilija - Cattedrale nel Deserto,Italija,2,6a+ do 6b,6a+,6b
Sicilija - Cinema paradiso - destra,Italija,4,6a+ do 7a,6a+,7a
Sicilija - Cinema paradiso - sinistra,Italija,4,6b do 7c+,6b,7c+
