"plezalisce","regija","drzava"
Val Romana Alta,None,Italija
Val Romana Bassa,None,Italija
Valle Del Turano - La Fortezza,None,Italija
Valli Giudicarie - Breguzzo,None,Italija
Valli Giudicarie - Coltura,None,Italija
Valli Giudicarie - Comano,None,Italija
Valli Giudicarie - Croz de le Niere,None,Italija
Valli Giudicarie - Val Algone,None,Italija
Valli Giudicarie - Val Lomasone,None,Italija
Vallle dellOrco - Caporal,None,Italija
Vallle dellOrco - Sergent,None,Italija
Vallle dellOrco - Torre di Aimonin,None,Italija
Vecchiano,None,Italija
Boneyard (Kloof Gorge),None,Juzna Afrika
Monteseel,None,Juzna Afrika
Dalle holandes,None,Maroko
Petit gorge,None,Maroko
Taghia,None,Maroko
Frankenjura,None,Nemčija
Kochel,None,Nemčija
Liebethal,None,Nemčija
Schaffelberg,None,Nemčija
Krakow - Labajowa,None,Poljska
Kršlenica,None,Slovaška
Armeško,Štajerska,Slovenija
Bitenj potok,Julijske Alpe,Slovenija
Bitnje,Julijske Alpe,Slovenija
Blažčeva skala,Karavanke,Slovenija
Boč,Štajerska,Slovenija
Bodešče,Gorenjska,Slovenija
Bohinj,Julijske Alpe,Slovenija
Bohinjska Bela,Julijske Alpe,Slovenija
Buncove skale,Štajerska,Slovenija
Burjakove peči,Karavanke,Slovenija
Čerjan,Posavsko hribovje,Slovenija
Čolnišče,Posavsko hribovje,Slovenija
Čreta,Štajerska,Slovenija
Črni Kal,Primorska,Slovenija
Dolge njive,Primorska,Slovenija
Dov,Gorenjska,Slovenija
Dovžanova soteska,Karavanke,Slovenija
Drnulk,Primorska,Slovenija
Gore,Primorska,Slovenija
Gorje,Julijske Alpe,Slovenija
Gornji Ig,Notranjska,Slovenija
Gromberg,Štajerska,Slovenija
Igla,Kamniško-Savinjske Alpe,Slovenija
Iški Vintgar,Notranjska,Slovenija
Jereka (Zevt),None,Slovenija
Kal-Koritnica,Julijske Alpe,Slovenija
Kamnik,Posavsko hribovje,Slovenija
Kamniška bistrica,Kamniško-Savinjske Alpe,Slovenija
Kamnitnik,Gorenjska,Slovenija
Kanin,Julijske Alpe,Slovenija
Kegl,Julijske Alpe,Slovenija
Koprivnik,Gorenjska,Slovenija
Korošica,Kamniško-Savinjske Alpe,Slovenija
Kot (nad Prevaljami),Karavanke,Slovenija
Kotečnik,Posavsko hribovje,Slovenija
Kovačevec,Gorenjska,Slovenija
Križevska vas,Posavsko hribovje,Slovenija
